ticker,year,cash,debt,fcf,revenue,shares_outstanding,net_profit_margin,net_income,eps,employees
AAPL,2023,29965000000,101266000000,110543000000,394328000000,16215963000,0.253096407,99803000000,6.15,164000
AAPL,2022,23646000000,120069000000,111443000000,365817000000,16701272000,0.258817934,94680000000,5.67,154000
AAPL,2021,34940000000,124719000000,92953000000,274515000000,17352119000,0.209136113,57411000000,3.31,147000
AAPL,2020,38016000000,112436000000,73365000000,260174000000,18471336000,0.212380945,55256000000,2.99,137000
AAPL,2019,48844000000,108047000000,58896000000,265595000000,19821508000,0.224142021,59531000000,3,132000
AMZN,2022,53888000000,140118000000,-16893000000,513983000000,10081481481,-0.005295895,-2722000000,-0.27,1541000
AMZN,2021,36220000000,116395000000,-14726000000,469822000000,10297530864,0.071014129,33364000000,3.3,1608000
AMZN,2020,42122000000,84389000000,25924000000,386064000000,10206220095,0.055252497,21331000000,2.13,1298000
AMZN,2019,36092000000,63205000000,21653000000,280522000000,10072142546,0.041308703,11588000000,1.17,798000
AMZN,2018,31750000000,39787000000,17296000000,232887000000,10002979145,0.043252736,10073000000,1.01,647500
GOOG,2022,21879000000,29679000000,60010000000,282836000000,13063000000,0.212038072,59972000000,4.59,182381
GOOG,2021,20945000000,26206000000,67012000000,257637000000,13352993991,0.295116773,76033000000,5.69,186779
GOOG,2020,26465000000,25078000000,42843000000,182527000000,13616313872,0.220619415,40269000000,2.96,150028
GOOG,2019,18498000000,14768000000,30972000000,161857000000,13851914459,0.212181123,34343000000,2.48,132121
GOOG,2018,16701000000,4012000000,22832000000,136819000000,13901396520,0.224647162,30736000000,2.21,118899
JPM,2022,567234000000,466727000000,107119000000,128695000000,2970000000,0.292754186,37676000000,12.1,293723
JPM,2021,740834000000,469176000000,78084000000,121649000000,3021500000,0.397323447,48334000000,15.39,271025
JPM,2020,527609000000,426451000000,-79910000000,119543000000,3082400000,0.243686372,29131000000,8.89,255351
JPM,2019,263631000000,407987000000,6046000000,115627000000,3221500000,0.315073469,36431000000,10.75,256981
JPM,2018,278793000000,454311000000,14187000000,109029000000,3414000000,0.297847362,32474000000,9.51,256105
LLY,2022,2067000000,16238600000,4600400000,28541400000,901736000,0.218797957,6244800000,6.93,39000
LLY,2021,3818500000,16884700000,5387500000,28318400000,906963000,0.197105062,5581700000,6.15,35000
LLY,2020,3657100000,16595300000,4470500000,24539800000,907634000,0.25239407,6193700000,6.82,35000
LLY,2019,2337500000,15803900000,3483100000,22319500000,931059000,0.207795874,4637900000,4.98,33625
LLY,2018,7320700000,10298600000,2506300000,21493300000,1027721000,0.150372442,3232000000,3.14,38680
META,2022,14681000000,26591000000,19044000000,116609000000,2687000000,0.198955484,23200000000,8.63,66185
META,2021,16601000000,13873000000,39116000000,117929000000,2815000000,0.333844941,39370000000,13.99,87314
META,2020,17576000000,10654000000,23632000000,85965000000,2851000000,0.33904496,29146000000,10.22,68177
META,2019,19079000000,10324000000,21212000000,70697000000,2854000022,0.261467955,18485000000,6.48,56653
META,2018,10019000000,500000000,15359000000,55838000000,2890000023,0.396002722,22112000000,7.65,43030
MSFT,2023,34704000000,59965000000,59475000000,211915000000,7446000000,0.341462379,72361000000,9.72,221000
MSFT,2022,13931000000,61270000000,65149000000,198270000000,7496000000,0.366863368,72738000000,9.7,221000
MSFT,2021,14224000000,67775000000,56118000000,168088000000,7547000000,0.364517396,61271000000,8.12,181000
MSFT,2020,13576000000,70998000000,45234000000,143015000000,7610000000,0.309624865,44281000000,5.82,163000
MSFT,2019,11356000000,78366000000,38260000000,125843000000,7673000000,0.311817105,39240000000,5.11,144000
NVDA,2023,3389000000,11855000000,3808000000,26974000000,2487000000,0.161933714,4368000000,1.76,26196
NVDA,2022,1990000000,11687000000,8132000000,26914000000,2496000000,0.362339303,9752000000,3.91,22473
NVDA,2021,847000000,7597000000,4694000000,16675000000,2468000000,0.259790105,4332000000,1.76,18975
NVDA,2020,10896000000,2552000000,4272000000,10918000000,2436000000,0.256090859,2796000000,1.15,13775
NVDA,2019,782000000,1988000000,3143000000,11716000000,2432000000,0.353448276,4141000000,1.7,13277
TSLA,2022,16253000000,3099000000,7552000000,81462000000,3130000000,0.154464658,12583000000,4.02,127855
TSLA,2021,17576000000,6834000000,3483000000,53823000000,2958000000,0.102539806,5519000000,1.87,99290
TSLA,2020,19384000000,11739000000,2701000000,31536000000,2799000000,0.021879757,690000000,0.25,70757
TSLA,2019,6268000000,13419000000,968000000,24578000000,2661000000,-0.031532265,-775000000,-0.29,48016
TSLA,2018,3685618000,11971371000,-221714000,21461268000,2559000000,-0.045481516,-976091000,-0.38,48817
WMT,2023,8885000000,58923000000,12244000000,611289000000,2724000000,0.019107165,11680000000,4.29,2100000
WMT,2022,14760000000,57323000000,11075000000,572754000000,2792000000,0.023872378,13673000000,4.9,2300000
WMT,2021,17741000000,63246000000,25810000000,559151000000,2831000000,0.024161631,13510000000,4.77,2300000
WMT,2020,9465000000,72433000000,14550000000,523964000000,2850000000,0.028400806,14881000000,5.22,2200000
WMT,2019,7722000000,58033000000,17409000000,514405000000,2929000000,0.012966437,6670000000,2.28,2200000
